rainfall_mm,avg_temp_c,soil_ph,humidity_pct,sunlight_hours,fertilizer_kg_ha,planting_density_k_ha,pest_incidence_pct,variety,soil_type,yield_tonnes_ha
1349.0,25.0,5.4,56.6,6.46,79.3,12.94,12.8,TME 419,Loam,27.27
1158.5,26.6,5.98,62.4,5.9,101.7,5.3,12.9,TMS 98/0505,Sandy,28.98
1394.3,24.6,6.01,58.7,6.29,84.2,9.18,37.4,TME 419,Sandy,24.33
1656.9,26.1,6.33,63.4,7.36,126.6,9.9,23.1,Local,Sandy,20.14
1129.8,21.3,5.04,67.4,8.03,191.8,10.04,39.8,TMS 30572,Clay,20.69
1129.8,27.6,6.41,80.0,7.18,73.7,10.45,10.0,TME 419,Clay,30.52
1673.8,27.0,4.11,66.1,6.62,180.0,11.53,14.2,TMS 98/0505,Sandy,22.03
1430.2,24.5,5.56,51.0,8.3,73.1,9.91,1.7,Local,Sandy-Loam,25.07
1059.2,29.0,5.66,83.7,6.12,69.1,9.08,6.9,TMS 30572,Loam,29.56
1362.8,29.8,6.44,60.0,7.74,169.1,8.98,34.0,Local,Clay,22.51
1061.0,22.2,6.02,69.3,6.15,175.3,8.47,9.8,TMS 30572,Loam,26.86
1060.3,24.7,5.02,75.4,7.02,171.1,11.97,34.2,Local,Clay,19.64
1272.6,24.7,5.31,72.4,6.36,41.1,8.38,2.6,TMS 30572,Loam,28.49
626.0,24.2,6.14,83.1,6.43,92.0,12.12,4.5,TMS 30572,Loam,26.83
682.5,29.5,5.94,75.7,6.05,169.4,10.05,11.6,TME 419,Sandy-Loam,26.58
1031.3,26.4,5.59,59.7,8.11,122.5,8.7,14.4,Local,Sandy,23.78
896.2,26.2,5.66,96.1,5.62,55.6,11.55,24.2,TME 419,Sandy-Loam,24.86
1294.3,21.0,6.49,72.3,5.61,147.5,8.18,19.5,TMS 30572,Clay,27.26
927.6,28.9,5.64,68.2,9.05,77.1,11.6,10.8,TME 419,Loam,26.76
776.3,23.3,5.94,81.6,7.67,227.7,10.53,13.7,Local,Clay,21.54
1639.7,27.2,7.52,73.0,3.64,212.7,8.51,11.8,Local,Sandy,17.24
1132.3,27.8,5.0,74.8,5.82,156.2,11.32,5.9,TMS 98/0505,Loam,27.91
1220.3,31.1,4.7,99.9,4.33,201.7,11.37,6.1,TME 419,Sandy-Loam,23.37
772.6,23.1,6.55,66.7,5.36,123.9,12.89,25.3,Local,Sandy,18.84
1036.7,17.9,5.52,66.2,2.73,165.9,12.42,0.0,TMS 30572,Clay,22.08
1233.3,27.6,5.78,71.4,6.34,208.7,11.23,31.2,TMS 30572,Loam,28.15
854.7,32.4,5.45,82.9,5.13,134.7,7.18,11.6,Local,Clay,17.57
1312.7,30.7,5.82,51.9,6.57,104.7,16.12,7.3,TMS 98/0505,Sandy,26.95
1019.8,27.6,7.12,46.4,4.55,17.7,6.49,22.4,TMS 30572,Loam,23.93
1112.5,25.5,6.56,63.0,6.6,115.0,12.37,29.9,TME 419,Sandy-Loam,24.83
1019.5,29.4,6.6,50.4,6.0,169.4,11.08,26.2,TME 419,Sandy,24.3
1755.7,24.1,5.01,64.9,8.3,176.7,7.06,20.0,TMS 98/0505,Clay,25.05
1196.0,28.4,5.19,76.0,8.19,150.3,9.69,25.9,Local,Loam,23.91
882.7,28.5,4.01,59.3,7.44,87.5,9.8,0.0,Local,Loam,19.3
1446.8,30.2,5.43,52.9,6.11,1.4,13.26,9.8,Local,Clay,16.55
833.7,35.3,6.67,70.8,8.88,90.3,8.22,5.9,TMS 30572,Loam,28.42
1262.7,28.2,6.36,80.4,4.64,101.7,9.35,27.2,TME 419,Sandy,22.98
612.1,25.5,5.84,49.7,4.82,101.2,4.16,11.2,TMS 30572,Sandy-Loam,23.31
801.5,26.9,5.98,79.8,6.4,157.1,14.34,23.5,Local,Sandy-Loam,23.36
1259.1,21.7,5.52,79.8,9.2,239.1,7.32,20.4,TMS 30572,Sandy,26.25
1421.5,24.9,6.14,81.4,6.26,127.4,10.82,6.4,TMS 30572,Loam,32.38
1251.4,25.8,6.54,84.6,6.28,107.0,9.75,9.1,TME 419,Clay,28.21
1165.3,25.4,4.87,96.4,4.77,104.4,9.75,27.9,TMS 30572,Sandy-Loam,23.59
1109.7,27.5,6.21,65.7,7.64,127.5,12.02,7.2,TME 419,Sandy-Loam,27.12
756.4,24.5,6.65,71.3,7.64,70.3,14.18,16.2,TMS 30572,Sandy-Loam,27.88
984.0,30.4,5.71,65.0,7.45,127.2,10.63,7.2,Local,Sandy,24.14
1061.8,27.0,6.49,70.0,5.74,147.0,11.64,11.9,TME 419,Sandy-Loam,27.33
